epoch,acc,loss,val_acc,val_loss
0,0.843379999962,0.527149003763,0.956,0.156155088055
1,0.958699999981,0.137815698595,0.9601,0.130994825152
2,0.973980000038,0.0860920986414,0.9705,0.107128215054
3,0.981400000038,0.0610520623183,0.9746,0.0834167877696
4,0.988100000019,0.0407755327284,0.9748,0.0908710734669
5,0.99064,0.0297765718654,0.9746,0.0893315814706
6,0.993260000019,0.0218058944637,0.9784,0.0853116772234
7,0.9952,0.0152734772934,0.9793,0.0869742542032
8,0.99686,0.0102106536159,0.9776,0.0897585583234
9,0.996960000019,0.00939924010701,0.9753,0.105983081037
