epoch,acc,loss,val_acc,val_loss
0,0.851840000038,0.512663646092,0.9483,0.176897673112
1,0.959059999981,0.136323974094,0.9666,0.113966083261
2,0.973599999962,0.087185119679,0.9707,0.0942279168397
3,0.98122,0.0603261239123,0.9719,0.0896457460433
4,0.986800000038,0.04294054618,0.9738,0.0917780123428
5,0.990860000038,0.029707520597,0.9757,0.0822236575745
6,0.99294,0.0217438459823,0.9792,0.0739210710085
7,0.99524,0.0162580932659,0.9766,0.0857948913043
8,0.99688,0.0110363721198,0.9782,0.0839357779796
9,0.9975,0.00863328392573,0.9799,0.0853134246831
10,0.997740000019,0.00678108653288,0.9788,0.0929615120349
11,0.99854,0.00555709602844,0.9802,0.0846897483545
12,0.99928,0.00306015497714,0.9789,0.0891672672117
