epoch,acc,loss,val_acc,val_loss
0,0.89632,0.351459748316,0.9365,0.211673359585
1,0.946299999962,0.177640154657,0.9544,0.157227998395
2,0.959659999962,0.128888367636,0.964,0.116510645752
3,0.96918,0.100336412063,0.9679,0.108638154702
4,0.973820000019,0.0827741042256,0.9703,0.0971822655646
5,0.977560000038,0.0701733584321,0.9708,0.0938291449666
6,0.980580000019,0.0599817028415,0.9752,0.0864261285145
7,0.98296,0.0527633013442,0.975,0.0829724706935
8,0.985,0.0460706511134,0.975,0.0835061549049
9,0.986280000019,0.040198391363,0.9767,0.0781611558471
10,0.988460000019,0.0341342852816,0.974,0.0936536240086
11,0.989600000019,0.0309335776529,0.9775,0.0830001036856
12,0.990860000038,0.0269265786801,0.9774,0.0847650375713
13,0.992420000019,0.023905551725,0.979,0.0872441147545
14,0.9931,0.0211766106752,0.9793,0.0778634603889
15,0.99408,0.0172408986746,0.9791,0.0796668433264
16,0.99496,0.0155038658411,0.9787,0.0876079885691
17,0.99558,0.0132316624524,0.9773,0.0867083570589
18,0.99658,0.0110328517273,0.9793,0.0860008718471
19,0.9967,0.00982425054289,0.9808,0.0836685982285
20,0.997779999962,0.00724838809066,0.977,0.0944813232963
