epoch,acc,loss,val_acc,val_loss
0,0.870299999981,0.46247106133,0.9505,0.178458102566
1,0.95288,0.155359872332,0.9583,0.141817055267
2,0.967740000019,0.106730371698,0.9688,0.112120937623
3,0.97546,0.0793027857089,0.9701,0.102028980699
4,0.981240000038,0.0613354032826,0.975,0.0853426707778
5,0.985439999962,0.0473040040493,0.9759,0.0881015607193
6,0.98862,0.0369796772891,0.9766,0.0869187916625
7,0.9915,0.0289929411075,0.9752,0.0845702568291
8,0.9919,0.0240499671069,0.9733,0.101965884585
9,0.993840000019,0.0198931130588,0.9758,0.0959910733668
10,0.99454,0.0166470370994,0.9757,0.101163688772
11,0.99538,0.014342497866,0.9759,0.0974934658753
12,0.99692,0.0106103060172,0.9807,0.0809536980345
13,0.998560000019,0.00548633245077,0.9778,0.0950422713263
14,0.998080000019,0.00666247697312,0.9779,0.0973747350715
15,0.9966,0.0111135643352,0.9785,0.0953706558303
16,0.99776,0.00668437933683,0.9807,0.0868066311364
17,0.998780000019,0.00453728001505,0.9784,0.102401450863
18,0.997420000019,0.0079379897603,0.9803,0.0983346452971
