epoch,acc,loss,val_acc,val_loss
0,0.11293999999,2.3014510582,0.1064,2.30223791771
1,0.113560000002,2.30124125481,0.1064,2.30217928619
2,0.113560000005,2.30118955666,0.1064,2.30244291725
3,0.11356,2.30123906662,0.1064,2.30218825912
4,0.113560000002,2.30129536934,0.1064,2.3019786232
5,0.113560000005,2.30122315109,0.1064,2.3024541687
6,0.11355999999,2.3012646196,0.1064,2.30225420341
7,0.11356,2.30123455948,0.1064,2.30203487358
8,0.113560000002,2.3013218132,0.1064,2.30207409439
9,0.113560000005,2.30121915382,0.1064,2.30222470284
10,0.113559999995,2.30124612747,0.1064,2.30203183136
