fn,test_loss,test_acc,epochs
fn,test_loss,test_acc,epochs
abh,0.081208,98.140000,14
prelu,0.103466,97.420000,10
lrelu,0.092123,97.910000,19
trelu,2.301067,11.350000,11
elu,0.088638,97.690000,21
relu,0.083752,98.050000,13
tanh,0.070008,98.150000,23
